Key,CITY,COUNTY,STATE,ZIP,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10
Key13,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,598,613,630,654
Key14,NICASIO,MARIN,CA,94946,318,318,318,318,316,318,682.24,470,557,476
Key21,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,458,469,486,511
Key25,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,616,657,710,662
Key26,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,472,538,543,571
Key38,FREMONT,ALAMEDA,CA,94555,168,703,737,582,582,1031,1057,1120,1140,1149
Key40,SAN FRANCISCO,SAN FRANCISCO,CA,94110,494,101,631,160.83,164.52,710,715,753,817,764
Key42,OAKLAND,ALAMEDA,CA,94611,221,242,354,276,118,530,562,625,744,713
Key43,SAN FRANCISCO,SAN FRANCISCO,CA,94117,522,113,379,160.83,164.52,640,611,696,743,672
Key44,CASTRO VALLEY,ALAMEDA,CA,94552,481,551,791,143,233,885,892,962,1096,1035
Key45,SAN FRANCISCO,SAN FRANCISCO,CA,94133,494,437,743,160.83,164.52,898,912,989,1034,1024
Key48,SACRAMENTO,SACRAMENTO,CA,95837,420,96,173,160.83,420,509,572,677,721,714
Key57,SAN DIEGO,SAN DIEGO,CA,92127,1270,258.2,529,160.83,1270,865,889,1270,1109,1108
Key58,SAN DIEGO,SAN DIEGO,CA,92101,96.6,258.2,98,800,164.52,608,608,801,809,822
Key61,VALENCIA,LOS ANGELES,CA,91381,96.6,258.2,371,160.83,164.52,519,605,661,702,678
Key67,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,610,641,696,661
Key68,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,474,559,567,577
Key69,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,566,591,610,607
Key70,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,472,538,543,571
Key71,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,631,652,696,662
